2024-09-14 17:23:49 - INFO - Rank: 76, Title: Shigatsu wa Kimi no Uso, Rating: 8.64, Episodes: 2, Type: TV , Aired: Oct 2014 - Mar 2015
2024-09-14 17:23:49 - INFO - Rank: 77, Title: Made in Abyss, Rating: 8.64, Episodes: 1, Type: TV , Aired: Jul 2017 - Sep 2017
2024-09-14 17:23:49 - INFO - Rank: 78, Title: Natsume Yuujinchou Shi, Rating: 8.64, Episodes: 1, Type: TV , Aired: Jan 2012 - Mar 2012
2024-09-14 17:23:49 - INFO - Rank: 79, Title: Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Rating: 8.63, Episodes: 1, Type: TV , Aired: Apr 2020 - Jun 2020
2024-09-14 17:23:49 - INFO - Rank: 80, Title: Shiguang Dailiren II, Rating: 8.63, Episodes: 1, Type: ONA , Aired: Jul 2023 - Sep 2023
2024-09-14 17:23:49 - INFO - Rank: 81, Title: Shingeki no Kyojin Season 3, Rating: 8.63, Episodes: 1, Type: TV , Aired: Jul 2018 - Oct 2018
2024-09-14 17:23:49 - INFO - Rank: 82, Title: Tengen Toppa Gurren Lagann, Rating: 8.63, Episodes: 2, Type: TV , Aired: Apr 2007 - Sep 2007
2024-09-14 17:23:49 - INFO - Rank: 83, Title: "Oshi no Ko", Rating: 8.62, Episodes: 1, Type: TV , Aired: Apr 2023 - Jun 2023
2024-09-14 17:23:49 - INFO - Rank: 84, Title: Death Note, Rating: 8.62, Episodes: 3, Type: TV , Aired: Oct 2006 - Jun 2007
2024-09-14 17:23:49 - INFO - Rank: 85, Title: Haikyuu!! Second Season, Rating: 8.62, Episodes: 2, Type: TV , Aired: Oct 2015 - Mar 2016
2024-09-14 17:23:49 - INFO - Rank: 86, Title: Made in Abyss: Retsujitsu no Ougonkyou, Rating: 8.62, Episodes: 1, Type: TV , Aired: Jul 2022 - Sep 2022
2024-09-14 17:23:49 - INFO - Rank: 87, Title: Ping Pong the Animation, Rating: 8.62, Episodes: 1, Type: TV , Aired: Apr 2014 - Jun 2014
2024-09-14 17:23:49 - INFO - Rank: 88, Title: Made in Abyss Movie 3: Fukaki Tamashii no Reimei, Rating: 8.61, Episodes: 1, Type: Movie , Aired: Jan 2020 - Jan 2020
2024-09-14 17:23:49 - INFO - Rank: 89, Title: Natsume Yuujinchou Roku, Rating: 8.61, Episodes: 1, Type: TV , Aired: Apr 2017 - Jun 2017
2024-09-14 17:23:49 - INFO - Rank: 90, Title: Dungeon Meshi, Rating: 8.61, Episodes: 2, Type: TV , Aired: Jan 2024 - Jun 2024
2024-09-14 17:23:49 - INFO - Rank: 91, Title: Cyberpunk: Edgerunners, Rating: 8.60, Episodes: 1, Type: ONA , Aired: Sep 2022 - Sep 2022
2024-09-14 17:23:49 - INFO - Rank: 92, Title: Hajime no Ippo: Rising, Rating: 8.60, Episodes: 2, Type: TV , Aired: Oct 2013 - Mar 2014
2024-09-14 17:23:49 - INFO - Rank: 93, Title: Suzumiya Haruhi no Shoushitsu, Rating: 8.60, Episodes: 1, Type: Movie , Aired: Feb 2010 - Feb 2010
2024-09-14 17:23:49 - INFO - Rank: 94, Title: Kimi ni Todoke 3rd Season, Rating: 8.60, Episodes: 5, Type: ONA , Aired: Aug 2024 - Aug 2024
2024-09-14 17:23:49 - INFO - Rank: 95, Title: Kenpuu Denki Berserk, Rating: 8.59, Episodes: 2, Type: TV , Aired: Oct 1997 - Apr 1998
2024-09-14 17:23:49 - INFO - Rank: 96, Title: Mushishi Zoku Shou: Suzu no Shizuku, Rating: 8.59, Episodes: 1, Type: Movie , Aired: May 2015 - May 2015
2024-09-14 17:23:49 - INFO - Rank: 97, Title: Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai, Rating: 8.59, Episodes: 1, Type: Movie , Aired: Jun 2019 - Jun 2019
2024-09-14 17:23:49 - INFO - Rank: 98, Title: Shin Evangelion Movie:||, Rating: 8.59, Episodes: 1, Type: Movie , Aired: Mar 2021 - Mar 2021
2024-09-14 17:23:49 - INFO - Rank: 99, Title: Tengen Toppa Gurren Lagann Movie 2: Lagann-hen, Rating: 8.58, Episodes: 1, Type: Movie , Aired: Apr 2009 - Apr 2009
2024-09-14 17:23:49 - INFO - Rank: 100, Title: JoJo no Kimyou na Bouken Part 5: Ougon no Kaze, Rating: 8.58, Episodes: 3, Type: TV , Aired: Oct 2018 - Jul 2019
2024-09-14 17:24:00 - INFO - Rank: 101, Title: Jujutsu Kaisen, Rating: 8.58, Episodes: 2, Type: TV , Aired: Oct 2020 - Mar 2021
2024-09-14 17:24:00 - INFO - Rank: 102, Title: Kimetsu no Yaiba Movie: Mugen Ressha-hen, Rating: 8.57, Episodes: 1, Type: Movie , Aired: Oct 2020 - Oct 2020
2024-09-14 17:24:00 - INFO - Rank: 103, Title: Kizumonogatari II: Nekketsu-hen, Rating: 8.57, Episodes: 1, Type: Movie , Aired: Aug 2016 - Aug 2016
2024-09-14 17:24:00 - INFO - Rank: 104, Title: Natsume Yuujinchou San, Rating: 8.57, Episodes: 1, Type: TV , Aired: Jul 2011 - Sep 2011
2024-09-14 17:24:00 - INFO - Rank: 105, Title: Nana, Rating: 8.56, Episodes: 4, Type: TV , Aired: Apr 2006 - Mar 2007
2024-09-14 17:24:00 - INFO - Rank: 106, Title: Natsume Yuujinchou Go, Rating: 8.56, Episodes: 1, Type: TV , Aired: Oct 2016 - Dec 2016
