Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Kikou Ryouhei Mellowlink,,,OVA,1.0,,,,,7.14
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,,,Special,2.0,,,,,7.14
Kyoukai no Rinne 2nd Season,,,TV,2.0,,,,,7.14
Love Hina Final Selection,,,OVA,1.0,,,,,7.14
Mahoromatic: Automatic Maiden,,,TV,1.0,,,,,7.14
Mahou no Stage Fancy Lala,,,TV,2.0,,,,,7.14
Mahou Shoujo Madoka★Magica: Concept Movie,,,Movie,1.0,,,,,7.14
Mouretsu Pirates,,,TV,2.0,,,,,7.14
My Little Goat,,,Movie,1.0,,,,,7.14
Neppuu Kairiku Bushi Road,,,TV,,,,,,7.14
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",,,TV,1.0,,,,,7.14
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",,,OVA,1.0,,,,,7.14
Otonari ni Ginga,,,TV,1.0,,,,,7.14
Pokemon Movie 20: Kimi ni Kimeta!,,,Movie,1.0,,,,,7.14
Rockman.EXE Axess,,,TV,5.0,,,,,7.14
Saikyou Onmyouji no Isekai Tenseiki,,,TV,1.0,,,,,7.14
"Sentouin, Hakenshimasu!",,,TV,1.0,,,,,7.14
4-nin wa Sorezore Uso wo Tsuku,,,TV,1.0,,,,,7.14
Aku no Hana,,,TV,1.0,,,,,7.14
Battle Spirits: Brave,,,TV,5.0,,,,,7.14
Black Jack: Futari no Kuroi Isha,,,Movie,1.0,,,,,7.14
Boku wa Tomodachi ga Sukunai,,,TV,1.0,,,,,7.14
Cencoroll,,,Movie,1.0,,,,,7.14
Chibi Revenger,,,ONA,2.0,,,,,7.14
ChroNoiR Episode.0,,,ONA,1.0,,,,,7.14
Chuunibyou demo Koi ga Shitai! Ren Specials,,,Special,7.0,,,,,7.14
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,,,Movie,1.0,,,,,7.14
Cyborg Kuro-chan,,,TV,6.0,,,,,7.14
Deadman Wonderland,,,TV,1.0,,,,,7.14
Fairy Tail x Rave,,,OVA,1.0,,,,,7.14
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,,,Special,1.0,,,,,7.14
Galaxy Angel Z,,,TV,9.0,,,,,7.14
Gear Fighter Dendoh,,,TV,3.0,,,,,7.14
Giant Gorg,,,TV,2.0,,,,,7.14
Hayate no Gotoku! Heaven Is a Place on Earth,,,Movie,1.0,,,,,7.14
Hentai Ouji to Warawanai Neko.,,,TV,1.0,,,,,7.14
Higurashi no Naku Koro ni Kai Specials,,,Special,2.0,,,,,7.14
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,,,OVA,1.0,,,,,7.14
Shen Mu,,,ONA,1.0,,,,,7.14
Shin Captain Tsubasa,,,OVA,1.0,,,,,7.14
Shippuu! Iron Leaguer,,,TV,5.0,,,,,7.14
Show by Rock!! Stars!!,,,TV,1.0,,,,,7.14
Shuangsheng Lingtan,,,ONA,2.0,,,,,7.14
Sora no Method: Mou Hitotsu no Negai,,,ONA,1.0,,,,,7.14
Suki na Ko ga Megane wo Wasureta,,,TV,1.0,,,,,7.14
Tamayura,,,OVA,4.0,,,,,7.14
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,,,Movie,1.0,,,,,7.14
Tears to Tiara,,,TV,2.0,,,,,7.14
Tenchi Muyou! GXP,,,TV,2.0,,,,,7.14
Terra Formars: Bugs 2-hen,,,OVA,2.0,,,,,7.14
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,,,OVA,1.0,,,,,7.14
Tokimeki Tonight,,,TV,3.0,,,,,7.14
Tokyo Marble Chocolate,,,OVA,2.0,,,,,7.14
"Wake Up, Girls! Seishun no Kage",,,Movie,1.0,,,,,7.14
Wan Jie Xian Zong 4th Season,,,ONA,4.0,,,,,7.14
Wu Shan Wu Xing,,,ONA,1.0,,,,,7.14
Yi Nian Yong Heng 3rd Season,,,ONA,2.0,,,,,7.14
Yoru wa Neko to Issho Season 2,,,ONA,3.0,,,,,7.14
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,,,Movie,1.0,,,,,7.14
SSSS.Gridman,,,TV,1.0,,,,,7.13
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,,,OVA,1.0,,,,,7.13
Takahashi Rumiko Gekijou,,,TV,1.0,,,,,7.13
Tales of Symphonia The Animation: Sylvarant-hen,,,OVA,4.0,,,,,7.13
"Tensei Kizoku, Kantei Skill de Nariagaru",,,TV,1.0,,,,,7.13
The iDOLM@STER SideM,,,TV,1.0,,,,,7.13
Tonkatsu DJ Agetarou,,,TV,1.0,,,,,7.13
Vampire in the Garden,,,ONA,5.0,,,,,7.13
Yokohama Kaidashi Kikou: Quiet Country Cafe,,,OVA,2.0,,,,,7.13
Ze Tian Ji 4th Season,,,ONA,1.0,,,,,7.13
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,,,OVA,1.0,,,,,7.13
Kenran Butou Sai: The Mars Daybreak,,,TV,2.0,,,,,7.13
Kiratto Pri☆chan,,,TV,5.0,,,,,7.13
Koi to Yobu ni wa Kimochi Warui,,,TV,1.0,,,,,7.13
Kuromukuro,,,TV,2.0,,,,,7.13
Kuroshitsuji II,,,TV,1.0,,,,,7.13
Kyuuketsuhime Miyu (TV),,,TV,2.0,,,,,7.13
Levius,,,ONA,1.0,,,,,7.13
Macross 7,,,TV,4.0,,,,,7.13
Mahoromatic: Motto Utsukushii Mono,,,TV,1.0,,,,,7.13
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,,,OVA,1.0,,,,,7.13
Mikan Enikki,,,TV,3.0,,,,,7.13
Mouryou no Hako,,,TV,1.0,,,,,7.13
Muumin,,,TV,6.0,,,,,7.13
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,,,Movie,1.0,,,,,7.13
"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",,,Special,1.0,,,,,7.13
One Piece Recap,,,OVA,1.0,,,,,7.13
Pokemon Advanced Generation,,,TV,1.0,,,,,7.13
Re: Cutie Honey,,,OVA,3.0,,,,,7.13
Saint Seiya Recap,,,TV,,,,,,7.13
Saishuu Heiki Kanojo,,,TV,1.0,,,,,7.13
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,,,Special,1.0,,,,,7.13
Anyamal Tantei Kiruminzoo,,,TV,5.0,,,,,7.13
Bishoujo Senshi Sailor Moon Crystal,,,ONA,2.0,,,,,7.13
Burn the Witch,,,ONA,3.0,,,,,7.13
Dantalian no Shoka: Ibarahime,,,OVA,1.0,,,,,7.13
Doraemon Movie 06: Nobita no Little Star Wars,,,Movie,1.0,,,,,7.13
Dragon Ball Movie 4: Saikyou e no Michi,,,Movie,1.0,,,,,7.13
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,,Special,1.0,,,,,7.13
Ensemble Stars!! Road to Show!!,,,Movie,1.0,,,,,7.13
Fantasy Bishoujo Juniku Ojisan to,,,TV,1.0,,,,,7.13
Fushigiboshi no☆Futagohime Gyu!,,,TV,5.0,,,,,7.13
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,,,Special,1.0,,,,,7.13
Ixion Saga DT,,,TV,2.0,,,,,7.13
Ace wo Nerae! 2,,,OVA,1.0,,,,,7.12
Aikatsu Friends!: Kagayaki no Jewel,,,TV,2.0,,,,,7.12
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,,,TV,1.0,,,,,7.12
Angolmois: Genkou Kassenki,,,TV,1.0,,,,,7.12
Bokura wa Minna Kawai-sou Specials,,,Special,1.0,,,,,7.12
Buddy Complex,,,TV,1.0,,,,,7.12
Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,,,Movie,1.0,,,,,7.12
Denpa Onna to Seishun Otoko,,,TV,1.0,,,,,7.12
Doraemon: The Day When I Was Born,,,Movie,1.0,,,,,7.12
Double Decker! Doug & Kirill: Extra,,,Special,3.0,,,,,7.12
Druaga no Tou: The Aegis of Uruk,,,TV,1.0,,,,,7.12
Flag,,,ONA,1.0,,,,,7.12
Fushigi Yuugi OVA,,,OVA,3.0,,,,,7.12
GA: Geijutsuka Art Design Class,,,TV,1.0,,,,,7.12
Garo: Vanishing Line,,,TV,2.0,,,,,7.12
Genius Party,,,Movie,7.0,,,,,7.12
Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,,,Movie,1.0,,,,,7.12
Gunslinger Girl: Il Teatrino,,,TV,1.0,,,,,7.12
Gyakusatsu Kikan,,,Movie,1.0,,,,,7.12
Heat Guy J,,,TV,2.0,,,,,7.12
Hellsing: The Dawn,,,Special,3.0,,,,,7.12
Jaku-Chara Tomozaki-kun,,,TV,1.0,,,,,7.12
Shikioriori,,,Movie,3.0,,,,,7.12
Shingeki no Bahamut: Genesis - Short Story,,,ONA,2.0,,,,,7.12
Shinkyoku Soukai Polyphonica Crimson S,,,TV,1.0,,,,,7.12
You Shou Yan,,,ONA,1.0,,,,,7.12
Yume-iro Pâtissière: Mune Kyun Tropical Island!,,,Special,1.0,,,,,7.12
Ze Tian Ji 5th Season,,,ONA,1.0,,,,,7.12
Zhen Wu Dianfeng 2nd Season,,,ONA,5.0,,,,,7.12
Kaginado,,,TV,1.0,,,,,7.12
Kakumeiki Valvrave,,,TV,1.0,,,,,7.12
Kenyuu Densetsu Yaiba,,,TV,5.0,,,,,7.12
Kidou Senshi Gundam SEED C.E. 73: Stargazer,,,ONA,3.0,,,,,7.12
Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai,,,Movie,1.0,,,,,7.12
Kurokami The Animation,,,TV,2.0,,,,,7.12
Kyousou Giga (2012),,,ONA,5.0,,,,,7.12
Long She Yanyi,,,ONA,1.0,,,,,7.12
Maria-sama ga Miteru 4th Specials,,,Special,1.0,,,,,7.12
Masuda Kousuke Gekijou Gag Manga Biyori 2,,,TV,1.0,,,,,7.12
Mayonaka no Occult Koumuin OVA,,,OVA,2.0,,,,,7.12
Mojakou,,,TV,7.0,,,,,7.12
Moonlight Mile 1st Season: Lift Off,,,TV,1.0,,,,,7.12
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,,,Movie,1.0,,,,,7.12
Nils no Fushigi na Tabi,,,TV,5.0,,,,,7.12
Nyan Koi!,,,TV,1.0,,,,,7.12
One Piece: Jango no Dance Carnival,,,Special,1.0,,,,,7.12
Ookiku Furikabutte: Natsu no Scorebook,,,OVA,2.0,,,,,7.12
Otaku no Video,,,OVA,2.0,,,,,7.12
Puchimas!: Petit iDOLM@STER,,,ONA,6.0,,,,,7.12
RabbiTube: Creator ni Challenge!,,,ONA,1.0,,,,,7.12
Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,,,OVA,1.0,,,,,7.12
Rokudenashi Majutsu Koushi to Akashic Records,,,TV,1.0,,,,,7.12
Rokujouma no Shinryakusha!?,,,TV,1.0,,,,,7.12
Rurouni Kenshin: Meiji Kenkaku Romantan - Shin Kyoto-hen,,,OVA,2.0,,,,,7.12
Junketsu no Maria,,,TV,1.0,,,,,7.11
Kenkou Zenrakei Suiei-bu Umishou,,,TV,1.0,,,,,7.11
Kiniro no Corda: Secondo Passo,,,TV,,,,,,7.11
Kirakira☆Precure A La Mode,,,TV,4.0,,,,,7.11
Kodomo no Omocha,,,OVA,1.0,,,,,7.11
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,,,Special,2.0,,,,,7.11
Kunoichi Tsubaki no Mune no Uchi,,,TV,1.0,,,,,7.11
Kuzu no Honkai,,,TV,1.0,,,,,7.11
Ling Jian Zun 3rd Season,,,ONA,4.0,,,,,7.11
Lodoss-tou Senki: Eiyuu Kishi Den,,,TV,2.0,,,,,7.11
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi,,,TV,,,,,,7.11
Maison Ikkoku: Kanketsu-hen,,,Movie,1.0,,,,,7.11
Monster Musume no Iru Nichijou OVA,,,OVA,2.0,,,,,7.11
Onmyou Taisenki,,,TV,5.0,,,,,7.11
Ranma ½: Nettou Uta Gassen,,,OVA,2.0,,,,,7.11
Robin Hood no Daibouken,,,TV,5.0,,,,,7.11
Ryuugajou Nanana no Maizoukin,,,TV,1.0,,,,,7.11
Seikai no Monshou Special,,,TV,,,,,,7.11
.hack//Quantum,,,OVA,3.0,,,,,7.11
2.5-jigen no Ririsa,,,TV,2.0,,,,,7.11
A3! Season Spring & Summer,,,TV,1.0,,,,,7.11
Ai Yori Aoshi: Enishi,,,TV,1.0,,,,,7.11
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,,,Special,1.0,,,,,7.11
Beyblade Burst God,,,TV,5.0,,,,,7.11
Captain Future,,,TV,5.0,,,,,7.11
Chirin no Suzu,,,Movie,1.0,,,,,7.11
Cong Hong Yue Kaishi,,,ONA,1.0,,,,,7.11
D.C.if: Da Capo if,,,OVA,2.0,,,,,7.11
Doraemon Movie 03: Nobita no Daimakyou,,,Movie,1.0,,,,,7.11
Doraemon Movie 35: Nobita no Space Heroes,,,Movie,1.0,,,,,7.11
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,,,Movie,1.0,,,,,7.11
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,,,Movie,1.0,,,,,7.11
Gaiking: Legend of Daiku-Maryu,,,TV,3.0,,,,,7.11
Guilty Crown: Kiseki - Reassortment,,,TV,,,,,,7.11
Hakuouki: Hekketsuroku - Kyoto Kaisouroku,,,TV,,,,,,7.11
Harukanaru Toki no Naka de: Maihitoyo,,,Movie,1.0,,,,,7.11
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,,,TV,1.0,,,,,7.11
Huan Chong Shi,,,ONA,1.0,,,,,7.11
Shin Taketori Monogatari: 1000-nen Joou,,,TV,4.0,,,,,7.11
"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?",,,Special,1.0,,,,,7.11
Starmyu OVA,,,OVA,2.0,,,,,7.11
Tennis no Oujisama: Another Story II - Ano Toki no Bokura Specials,,,Special,2.0,,,,,7.11
Unico,,,Movie,1.0,,,,,7.11
Urara Meirochou,,,TV,1.0,,,,,7.11
You Shou Yan 2nd Season,,,ONA,1.0,,,,,7.11
Yu☆Gi☆Oh! Duel Monsters: Battle City Special,,,Special,1.0,,,,,7.11
Zhu Tian Ji,,,ONA,2.0,,,,,7.11
Shachiku-san wa Youjo Yuurei ni Iyasaretai.,,,TV,1.0,,,,,7.10
Shakugan no Shana-tan Movie,,,Special,1.0,,,,,7.10
Soukou Kihei Votoms: The Last Red Shoulder,,,OVA,1.0,,,,,7.10
Tate no Yuusha no Nariagari Season 3,,,TV,1.0,,,,,7.10
Tonari no Yamada-kun,,,Movie,1.0,,,,,7.10
Toriko Movie: Bishokushin no Special Menu,,,Movie,1.0,,,,,7.10
Virtua Fighter,,,TV,3.0,,,,,7.10
Jun You Yun,,,ONA,2.0,,,,,7.10
Junkers Come Here,,,Movie,1.0,,,,,7.10
Karin,,,TV,2.0,,,,,7.10
Kazemakase Tsukikage Ran,,,TV,1.0,,,,,7.10
Kimi ga Aruji de Shitsuji ga Ore de,,,TV,1.0,,,,,7.10
Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,,,Movie,1.0,,,,,7.10
Madan no Ou to Vanadis,,,TV,1.0,,,,,7.10
Mouretsu Pirates: Abyss of Hyperspace,,,Movie,1.0,,,,,7.10
Myself; Yourself,,,TV,1.0,,,,,7.10
Nobunaga no Shinobi,,,TV,2.0,,,,,7.10
One Piece Movie 05: Norowareta Seiken,,,Movie,1.0,,,,,7.10
Rec: Yurusarezarumono,,,TV,,,,,,7.10
Sansha Sanyou,,,TV,1.0,,,,,7.10
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",,,TV,1.0,,,,,7.10
Ai Yori Aoshi,,,TV,2.0,,,,,7.10
Alice to Zouroku,,,TV,1.0,,,,,7.10
Amanchu! Advance,,,TV,1.0,,,,,7.10
Ao no Exorcist: Kyoto Fujouou-hen OVA,,,OVA,2.0,,,,,7.10
B'T X Neo,,,OVA,1.0,,,,,7.10
Bastard!! Ankoku no Hakaishin: Jigoku no Chinkonka-hen,,,ONA,1.0,,,,,7.10
Binghuo Mochu 2,,,ONA,1.0,,,,,7.10
Biohazard: Damnation,,,Movie,1.0,,,,,7.10
Blood Lad: Wagahai wa Neko de wa Nai,,,OVA,1.0,,,,,7.10
Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,,,Movie,1.0,,,,,7.10
Dead Dead Demons Dededede Destruction (ONA) Episode 0,,,ONA,1.0,,,,,7.10
Digimon Adventure 02 Movies,,,Movie,2.0,,,,,7.10
Dirty Pair OVA,,,OVA,1.0,,,,,7.10
Dokidoki♡Densetsu: Mahoujin Guruguru,,,TV,3.0,,,,,7.10
Doraemon Movie 09: Nobita no Parallel Saiyuuki,,,Movie,1.0,,,,,7.10
Dorohedoro: Ma no Omake,,,Special,6.0,,,,,7.10
Haikara-san ga Tooru,,,TV,4.0,,,,,7.10
Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,,,OVA,1.0,,,,,7.10
Happiness Charge Precure! Movie: Ningyou no Kuni no Ballerina,,,Movie,1.0,,,,,7.10
Himouto! Umaru-chan,,,TV,1.0,,,,,7.10
Hoshi no Koe,,,OVA,1.0,,,,,7.10
Jigoku Sensei Nube OVA,,,OVA,3.0,,,,,7.10
30-pun de Wakaru! Kore made no Love Live!,,,ONA,2.0,,,,,7.09
A-Channel+smile,,,OVA,2.0,,,,,7.09
Adachi to Shimamura,,,TV,1.0,,,,,7.09
Anime Sanjuushi,,,TV,5.0,,,,,7.09
Aoi Hana,,,TV,1.0,,,,,7.09
BanG Dream!: Asonjatta!,,,Special,1.0,,,,,7.09
Black Blood Brothers,,,TV,1.0,,,,,7.09
Black★Rock Shooter (OVA),,,OVA,1.0,,,,,7.09
Chikyuu Bouei Kigyou Dai-Guard,,,TV,2.0,,,,,7.09
Densetsu no Yuusha da Garn,,,TV,4.0,,,,,7.09
Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,,,TV,2.0,,,,,7.09
Fei Ren Zai,,,ONA,4.0,,,,,7.09
Futari wa Precure,,,TV,4.0,,,,,7.09
Galaxy Angel 3 Specials,,,Special,2.0,,,,,7.09
Hakuouki: Reimeiroku OVA,,,OVA,2.0,,,,,7.09
Hanhua Riji 4th Season,,,ONA,1.0,,,,,7.09
Hatenkou Yuugi,,,TV,1.0,,,,,7.09
Hayate no Gotoku! OVA,,,OVA,3.0,,,,,7.09
Hidamari no Ki,,,TV,2.0,,,,,7.09
Hinamatsuri (OVA),,,OVA,1.0,,,,,7.09
Shin Tennis no Oujisama: Hyoutei vs. Rikkai - Game of Future,,,ONA,2.0,,,,,7.09
Star Wars: Visions,,,ONA,9.0,,,,,7.09
Tenchi Muyou! Manatsu no Eve,,,Movie,1.0,,,,,7.09
Tokyo Mew Mew,,,TV,5.0,,,,,7.09
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,,,OVA,1.0,,,,,7.09
Tonari no Kyuuketsuki-san,,,TV,1.0,,,,,7.09
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",,,TV,1.0,,,,,7.09
Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,,,Movie,1.0,,,,,7.09
Wu Shang Shen Di 2nd Season,,,ONA,4.0,,,,,7.09
Yoake Mae yori Ruriiro na: Crescent Love,,,TV,1.0,,,,,7.09
Kamisama Kazoku,,,TV,1.0,,,,,7.09
Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,,,Movie,1.0,,,,,7.09
Koe no Katachi Specials,,,Special,2.0,,,,,7.09
Kyoushoku Soukou Guyver (1989),,,OVA,6.0,,,,,7.09
Love Hina,,,TV,2.0,,,,,7.09
Lupin III: $1 Money Wars,,,TV,,,,,,7.09
Lupin III: Dead or Alive,,,Movie,1.0,,,,,7.09
Mangaka-san to Assistant-san to The Animation,,,TV,1.0,,,,,7.09
Medarot,,,TV,5.0,,,,,7.09
Mou Ippon!,,,TV,1.0,,,,,7.09
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,,,Movie,1.0,,,,,7.09
Nobunaga no Shinobi: Anegawa Ishiyama-hen,,,TV,2.0,,,,,7.09
Offside (TV),,,TV,3.0,,,,,7.09
One Piece Movie 01,,,Movie,1.0,,,,,7.09
One Piece Movie 02: Nejimaki-jima no Daibouken,,,Movie,1.0,,,,,7.09
Onegai☆Teacher,,,TV,1.0,,,,,7.09
Oseam,,,Movie,1.0,,,,,7.09
Pokemon XY&Z Specials,,,Special,2.0,,,,,7.09
Quanzhi Fashi VI,,,ONA,1.0,,,,,7.09
Rain Town,,,ONA,1.0,,,,,7.09
RD Sennou Chousashitsu,,,TV,2.0,,,,,7.09
Ryuusei no Rockman,,,TV,5.0,,,,,7.09
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,,,Movie,1.0,,,,,7.09
Karneval (TV),,,TV,1.0,,,,,7.08
Kidou Senshi Gundam: Dai 08 MS Shoutai - Sanjigen to no Tatakai,,,Special,1.0,,,,,7.08
Kindaichi Shounen no Jikenbo Returns 2nd Season: Akechi Keibu no Jikenbo,,,Special,1.0,,,,,7.08
Lostorage Conflated WIXOSS,,,TV,1.0,,,,,7.08
Majutsushi Orphen,,,TV,2.0,,,,,7.08
Mazinkaiser: Shitou! Ankoku Dai Shougun,,,OVA,1.0,,,,,7.08
Mister Ajikko,,,TV,9.0,,,,,7.08
Musashi no Ken,,,TV,7.0,,,,,7.08
Mutafukaz,,,Movie,1.0,,,,,7.08
Muv-Luv Alternative: Total Eclipse,,,TV,2.0,,,,,7.08
No Guns Life 2nd Season,,,TV,1.0,,,,,7.08
Nu Wushen de Canzhuo,,,ONA,1.0,,,,,7.08
Obey Me! Season 2,,,ONA,1.0,,,,,7.08
One Piece: Yume no Soccer Ou!,,,Movie,1.0,,,,,7.08
Pokemon Movie 03: Kesshoutou no Teiou Entei,,,Movie,1.0,,,,,7.08
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,,,Movie,1.0,,,,,7.08
Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,,,TV,,,,,,7.08
Accel World EX,,,OVA,2.0,,,,,7.08
Anime Himitsu no Hanazono,,,TV,3.0,,,,,7.08
Another World,,,ONA,3.0,,,,,7.08
Arknights: Reimei Zensou,,,TV,8.0,,,,,7.08
Bakumatsu Kikansetsu Irohanihoheto,,,ONA,2.0,,,,,7.08
Bishounen Tanteidan,,,TV,1.0,,,,,7.08
Black Bullet,,,TV,1.0,,,,,7.08
Boku no Chikyuu wo Mamotte,,,OVA,6.0,,,,,7.08
Bubblegum Crisis Tokyo 2040,,,TV,2.0,,,,,7.08
Deltora Quest,,,TV,6.0,,,,,7.08
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,,,OVA,1.0,,,,,7.08
Hidari Pilot Film,,,ONA,1.0,,,,,7.08
Hokuto no Ken: Raoh Gaiden Ten no Haoh,,,TV,1.0,,,,,7.08
Hokuto no Ken: Yuria-den,,,OVA,1.0,,,,,7.08
Jie Yao,,,ONA,1.0,,,,,7.08
Shin Getter Robo tai Neo Getter Robo,,,OVA,4.0,,,,,7.08
Sousei no Aquarion,,,TV,2.0,,,,,7.08
Space Adventure Cobra,,,Movie,1.0,,,,,7.08
SSSS.Gridman Movie,,,Movie,1.0,,,,,7.08
Sumikko Gurashi Movie 1: Tobidasu Ehon to Himitsu no Ko,,,Movie,1.0,,,,,7.08
Tennis no Oujisama: Another Story - Kako to Mirai no Message Specials,,,Special,2.0,,,,,7.08
Uchuu Densetsu Ulysses 31,,,TV,2.0,,,,,7.08
You Yao,,,ONA,1.0,,,,,7.08
Yuragi-sou no Yuuna-san OVA,,,OVA,4.0,,,,,7.08
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,,,TV,9.0,,,,,7.07
Tenjoubito to Akutobito Saigo no Tatakai,,,Movie,1.0,,,,,7.07
Tetsuwan Atom,,,TV,1.0,,,,,7.07
The God of High School,,,TV,1.0,,,,,7.07
Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,,,Special,1.0,,,,,7.07
Tsurikichi Sanpei,,,TV,1.0,,,,,7.07
Unico: Mahou no Shima e,,,Movie,1.0,,,,,7.07
Vampire Knight Guilty,,,TV,1.0,,,,,7.07
Xian Yu Ge,,,ONA,1.0,,,,,7.07
Yoroiden Samurai Troopers,,,TV,3.0,,,,,7.07
Junk Head,,,Movie,1.0,,,,,7.07
Kagejitsu!,,,ONA,1.0,,,,,7.07
Kaizoku Oujo,,,TV,1.0,,,,,7.07
Kami no Tou: Ouji no Kikan,,,TV,,,,,,7.07
Kikansha no Mahou wa Tokubetsu desu,,,TV,1.0,,,,,7.07
Kirarin☆Revolution,,,TV,1.0,,,,,7.07
Knight's & Magic,,,TV,1.0,,,,,7.07
Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie,,,Movie,1.0,,,,,7.07
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,,,TV,1.0,,,,,7.07
Log Horizon: Entaku Houkai,,,TV,1.0,,,,,7.07
Mahoromatic Summer Special,,,Special,1.0,,,,,7.07
Muteki Kanban Musume,,,TV,1.0,,,,,7.07
Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,,,OVA,1.0,,,,,7.07
Nasu: Suitcase no Wataridori,,,OVA,1.0,,,,,7.07
Negima!? Natsu Special!?,,,OVA,1.0,,,,,7.07
Penguin's Memory: Shiawase Monogatari,,,Movie,1.0,,,,,7.07
Pokemon: Mewtwo! Ware wa Koko ni Ari,,,TV,,,,,,7.07
Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,,,Movie,1.0,,,,,7.07
Prima Doll,,,TV,1.0,,,,,7.07
Saint Seiya: Soul of Gold,,,ONA,1.0,,,,,7.07
Sayonara Watashi no Cramer Movie: First Touch,,,Movie,1.0,,,,,7.07
.hack//G.U. Trilogy,,,Movie,1.0,,,,,7.07
Ace wo Nerae!,,,TV,2.0,,,,,7.07
Aquarion Evol,,,TV,2.0,,,,,7.07
Ashita no Joe (Movie),,,Movie,1.0,,,,,7.07
Black Cat (TV): Toozakaru Neko,,,Special,1.0,,,,,7.07
Blue Archive the Animation,,,TV,1.0,,,,,7.07
Chibi Maruko-chan Movie,,,Movie,1.0,,,,,7.07
Chicchana Yukitsukai Sugar,,,TV,2.0,,,,,7.07
Cobra The Animation,,,TV,1.0,,,,,7.07
Doubutsu no Mori,,,Movie,1.0,,,,,7.07
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,,,Special,1.0,,,,,7.07
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,,,TV,1.0,,,,,7.07
Ginga Tetsudou Monogatari,,,TV,2.0,,,,,7.07
Gosick: Utsukushiki Kaibutsu wa Konton no Sen wo Shimiru,,,TV,,,,,,7.07
Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,,,TV,2.0,,,,,7.07
Hello! Sandybell,,,TV,4.0,,,,,7.07
Highschool of the Dead,,,TV,1.0,,,,,7.07
