Title,English Name,Synonyms,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Vinland Saga,,,TV,2.0,,,,,8.76
The First Slam Dunk,,,Movie,1.0,,,,,8.75
Cowboy Bebop,,,TV,2.0,,,,,8.75
Hibike! Euphonium 3,,,TV,1.0,,,,,8.74
Kimetsu no Yaiba: Yuukaku-hen,,,TV,1.0,,,,,8.74
Kingdom 4th Season,,,TV,2.0,,,,,8.74
Kingdom 5th Season,,,TV,1.0,,,,,8.73
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,,,TV,1.0,,,,,8.63
Shiguang Dailiren II,,,ONA,1.0,,,,,8.63
Shingeki no Kyojin Season 3,,,TV,1.0,,,,,8.63
Tengen Toppa Gurren Lagann,,,TV,2.0,,,,,8.63
"""Oshi no Ko""",,,TV,1.0,,,,,8.62
Death Note,,,TV,3.0,,,,,8.62
Haikyuu!! Second Season,,,TV,2.0,,,,,8.62
Made in Abyss: Retsujitsu no Ougonkyou,,,TV,1.0,,,,,8.62
Ping Pong the Animation,,,TV,1.0,,,,,8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,,,Movie,1.0,,,,,8.61
Natsume Yuujinchou Roku,,,TV,1.0,,,,,8.61
Dungeon Meshi,,,TV,2.0,,,,,8.61
Cyberpunk: Edgerunners,,,ONA,1.0,,,,,8.60
Hajime no Ippo: Rising,,,TV,2.0,,,,,8.60
Suzumiya Haruhi no Shoushitsu,,,Movie,1.0,,,,,8.60
Kimi ni Todoke 3rd Season,,,ONA,5.0,,,,,8.60
Kenpuu Denki Berserk,,,TV,2.0,,,,,8.59
Mushishi Zoku Shou: Suzu no Shizuku,,,Movie,1.0,,,,,8.59
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,,,Movie,1.0,,,,,8.59
Shin Evangelion Movie:||,,,Movie,1.0,,,,,8.59
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,,,Movie,1.0,,,,,8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,,,TV,3.0,,,,,8.58
Jujutsu Kaisen,,,TV,2.0,,,,,8.58
Kimetsu no Yaiba Movie: Mugen Ressha-hen,,,Movie,1.0,,,,,8.57
Kizumonogatari II: Nekketsu-hen,,,Movie,1.0,,,,,8.57
Natsume Yuujinchou San,,,TV,1.0,,,,,8.57
Nana,,,TV,4.0,,,,,8.56
Natsume Yuujinchou Go,,,TV,1.0,,,,,8.56
Ookami Kodomo no Ame to Yuki,,,Movie,1.0,,,,,8.56
Doupo Cangqiong: San Nian Zhi Yue,,,ONA,1.0,,,,,8.56
Yojouhan Shinwa Taikei,,,TV,1.0,,,,,8.56
Shingeki no Kyojin,,,TV,2.0,,,,,8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",,,Movie,1.0,,,,,8.55
Shouwa Genroku Rakugo Shinjuu,,,TV,1.0,,,,,8.55
Slam Dunk,,,TV,1.0,,,,,8.55
Kimi no Suizou wo Tabetai,,,Movie,1.0,,,,,8.55
Perfect Blue,,,Movie,1.0,,,,,8.55
Haikyuu!! To the Top Part 2,,,TV,1.0,,,,,8.55
"""Oshi no Ko"" 2nd Season",,,TV,1.0,,,,,8.54
Fate/Zero 2nd Season,,,TV,1.0,,,,,8.54
Fruits Basket 2nd Season,,,TV,2.0,,,,,8.54
Zoku Natsume Yuujinchou,,,TV,1.0,,,,,8.54
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,,,ONA,1.0,,,,,8.54
Mushishi: Hihamukage,,,TV,,,,,,8.53
Steins;Gate 0,,,TV,2.0,,,,,8.53
Shingeki no Kyojin Season 2,,,TV,1.0,,,,,8.52
Shoujo☆Kageki Revue Starlight Movie,,,Movie,1.0,,,,,8.52
Bakuman. 3rd Season,,,TV,2.0,,,,,8.52
Gintama Movie 1: Shinyaku Benizakura-hen,,,Movie,1.0,,,,,8.52
Gintama.: Porori-hen,,,TV,1.0,,,,,8.52
Hotaru no Haka,,,Movie,1.0,,,,,8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,,,TV,2.0,,,,,8.52
Kara no Kyoukai Movie 5: Mujun Rasen,,,Movie,1.0,,,,,8.51
Samurai Champloo,,,TV,2.0,,,,,8.51
Sora yori mo Tooi Basho,,,TV,1.0,,,,,8.51
Tian Guan Cifu Special,,,ONA,1.0,,,,,8.51
Yuru Camp△ Season 2,,,TV,1.0,,,,,8.51
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,,,TV,3.0,,,,,8.50
Ousama Ranking,,,TV,2.0,,,,,8.50
Spy x Family,,,TV,1.0,,,,,8.50
Yakusoku no Neverland,,,TV,1.0,,,,,8.49
Mob Psycho 100,,,TV,1.0,,,,,8.49
One Punch Man,,,TV,1.0,,,,,8.49
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,,,Movie,1.0,,,,,8.48
Ansatsu Kyoushitsu 2nd Season,,,TV,2.0,,,,,8.48
Aria the Origination,,,TV,1.0,,,,,8.48
Chainsaw Man,,,TV,1.0,,,,,8.48
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,,,Movie,1.0,,,,,8.48
Summertime Render,,,TV,2.0,,,,,8.48
Uchuu Kyoudai,,,TV,9.0,,,,,8.48
Nichijou,,,TV,2.0,,,,,8.47
Pluto,,,ONA,8.0,,,,,8.47
